2024-04-20 03:00:39,Cash Back Reward,Credit Card Company,5.00,Checking
2024-04-19 19:27:11,Shopping,Electronics Store,-200.00,Credit Card
2024-04-18 09:47:14,Bills,Internet Bill,-60.00,Checking
2024-04-17 15:58:41,Side Hustle,Income from Project,100.00,Checking
2024-04-16 08:34:09,Bills,Phone Bill,-70.00,Checking
2024-04-15 22:05:32,Interest,Savings Account,2.50,Savings
2024-06-05 11:21:58,Allowance,From Parents,50.00,Checking
2024-06-06 04:47:14,-Bills,-Electric Bill,-87.43,Checking
2024-06-07 15:58:41,Side Hustle,Income from Project,120.00,Checking
2024-06-08 05:34:09,-Bills,-Internet Provider,-59.99,Checking
2024-06-09 22:05:32,Interest,Savings Account,1.23,Savings
2024-06-10 08:11:55,-Entertainment,-Sporting Event,-45.00,Cash
2024-06-11 12:32:06,Gift,Grandma's Gift,100.00,Savings
2024-06-12 03:00:39,Cash Back Reward,Credit Card Company,10.00,Checking
2024-06-13 19:27:11,-Shopping,-Groceries,-45.67,Debit Card
2024-06-14 09:23:54,Entertainment,Concert Tickets,-80.00,Credit Card
2024-06-15 14:55:12,Shopping,Clothing Store,-50.00,Debit Card
2024-06-16 20:14:23,Salary,Your Employer,2500.00,Checking
2024-06-17 11:37:41,Transportation,Public Transit,-5.00,Cash
2024-06-18 18:52:07,Freelance Work,Client B,300.00,Checking
2024-06-19 22:09:35,Food,Restaurant ABC,-25.00,Credit Card
2024-06-20 09:21:58,Allowance,From Parents,50.00,Checking
2024-06-21 04:47:14,Bills,Water Bill,-40.00,Checking
2024-06-22 15:58:41,Side Hustle,Income from Project,150.00,Checking
2024-06-23 08:34:09,Bills,Phone Bill,-70.00,Checking
2024-06-24 22:05:32,Interest,Savings Account,2.50,Savings
2024-06-25 11:11:55,Entertainment,Concert Tickets,-100.00,Credit Card
2024-06-26 12:32:06,Gift,Birthday Present,-50.00,Debit Card
2024-06-27 03:00:39,Cash Back Reward,Credit Card Company,5.00,Checking
2024-06-28 19:27:11,Shopping,Electronics Store,-200.00,Credit Card
2024-06-29 09:47:14,Bills,Internet Bill,-60.00,Checking
2024-06-30 15:58:41,Side Hustle,Income from Project,100.00,Checking
2024-07-01 08:34:09,Bills,Phone Bill,-70.00,Checking
2024-07-02 22:05:32,Interest,Savings Account,2.50,Savings
2024-07-03 11:11:55,Entertainment,Concert Tickets,-100.00,Credit Card
2024-07-04 12:32:06,Gift,Birthday Present,-50.00,Debit Card
2024-07-05 03:00:39,Cash Back Reward,Credit Card Company,5.00,Checking
2024-07-06 19:27:11,Shopping,Electronics Store,-200.00,Credit Card
2024-07-07 09:47:14,Bills,Internet Bill,-60.00,Checking
2024-07-08 15:58:41,Side Hustle,Income from Project,100.00,Checking
2024-07-09 08:34:09,Bills,Phone Bill,-70.00,Checking
2024-07-10 22:05:32,Interest,Savings Account,2.50,Savings
2024-07-11 11:11:55,Entertainment,Concert Tickets,-100.00,Credit Card
2024-07-12 12:32:06,Gift,Birthday Present,-50.00,Debit Card
2024-07-13 03:00:39,Cash Back Reward,Credit Card Company,5.00,Checking
2024-07-14 19:27:11,Shopping,Electronics Store,-200.00,Credit Card
2024-07-15 09:47:14,Bills,Internet Bill,-60.00,Checking
2024-07-16 15:58:41,Side Hustle,Income from Project,100.00,Checking
2024-07-17 08:34:09,Bills,Phone Bill,-70.00,Checking
2024-07-18 22:05:32,Interest,Savings Account,2.50,Savings
2024-07-19 11:11:55,Entertainment,Concert Tickets,-100.00,Credit Card
2024-07-20 12:32:06,Gift,Birthday Present,-50.00,Debit Card
2024-07-21 03:00:39,Cash Back Reward,Credit Card Company,5.00,Checking
2024-07-22 19:27:11,Shopping,Electronics Store,-200.00,Credit Card
2024-07-23 09:47:14,Bills,Internet Bill,-60.00,Checking
2024-07-24 15:58:41,Side Hustle,Income from Project,100.00,Checking
2024-07-25 08:34:09,Bills,Phone Bill,-70.00,Checking
2024-07-26 22:05:32,Interest,Savings Account,2.50,Savings
2024-07-27 11:11:55,Entertainment,Concert Tickets,-100.00,Credit Card
2024-07-28 12:32:06,Gift,Birthday Present,-50.00,Debit Card
2024-07-29 03:00:39,Cash Back Reward,Credit Card Company,5.00,Checking
2024-07-30 19:27:11,Shopping,Electronics Store,-200.00,Credit Card
